_id,status,sub_technology,technology,tool,work_type
764,ACTIVE,Server,Systems,SS-LYNC-L1,IMTS
765,ACTIVE,Server,Systems,SS-LYNC-L2,IMTS
766,ACTIVE,Server,Systems,SS-LYNC-L3,IMTS
767,ACTIVE,Server,Systems,SS-LYNC-L4,IMTS
768,ACTIVE,UNIX,Systems,SS-Solaris-L1,IMTS
769,ACTIVE,UNIX,Systems,SS-Solaris-L2,IMTS
770,ACTIVE,UNIX,Systems,SS-Solaris-L3,IMTS
771,ACTIVE,UNIX,Systems,SS-Solaris-L4,IMTS
772,ACTIVE,Sybase,Database,DB-Sybase-L1,IMTS
773,ACTIVE,Sybase,Database,DB-Sybase-L2,IMTS
774,ACTIVE,Sybase,Database,DB-Sybase-L3,IMTS
775,ACTIVE,Sybase,Database,DB-Sybase-L4,IMTS
776,ACTIVE,Technical Support,Technical Support,TS-L1,IMTS
777,ACTIVE,Technical Support,Technical Support,TS-L2,IMTS
778,ACTIVE,Technical Support,Technical Support,TS-L3,IMTS
779,ACTIVE,Technical Support,Technical Support,TS-L4,IMTS
780,ACTIVE,Middleware,Application Support,AS-MIDDLEWARE&ECM - L1,IMTS
781,ACTIVE,Middleware,Application Support,AS-MIDDLEWARE&ECM - L2,IMTS
782,ACTIVE,Middleware,Application Support,AS-MIDDLEWARE&ECM - L3,IMTS
783,ACTIVE,Middleware,Application Support,AS-MIDDLEWARE&ECM - L4,IMTS
784,ACTIVE,LINUX,Systems,SS-LINUX-L1,IMTS
785,ACTIVE,LINUX,Systems,SS-LINUX-L2,IMTS
786,ACTIVE,LINUX,Systems,SS-LINUX-L3,IMTS
787,ACTIVE,LINUX,Systems,SS-LINUX-L4,IMTS
788,ACTIVE,VMWare,End User Services,EUS-VDI-L1,IMTS
789,ACTIVE,VMWare,End User Services,EUS-VDI-L2,IMTS
790,ACTIVE,VMWare,End User Services,EUS-VDI-L3,IMTS
791,ACTIVE,VMWare,End User Services,EUS-VDI-L4,IMTS
792,ACTIVE,CITRIX,End User Services,EUS-XenApp-L1,IMTS
793,ACTIVE,CITRIX,End User Services,EUS-XenApp-L2,IMTS
794,ACTIVE,CITRIX,End User Services,EUS-XenApp-L3,IMTS
795,ACTIVE,CITRIX,End User Services,EUS-XenApp-L4,IMTS
796,ACTIVE,Virtualisation,Systems,SS-VMWare-L1,IMTS
797,ACTIVE,Virtualisation,Systems,SS-VMWare-L2,IMTS
798,ACTIVE,Virtualisation,Systems,SS-VMWare-L3,IMTS
799,ACTIVE,Virtualisation,Systems,SS-VMWare-L4,IMTS
800,ACTIVE,Weblogic,Application Support,AS-Weblogic-L1,IMTS
801,ACTIVE,Weblogic,Application Support,AS-Weblogic-L2,IMTS
802,ACTIVE,Weblogic,Application Support,AS-Weblogic-L3,IMTS
803,ACTIVE,Weblogic,Application Support,AS-Weblogic-L4,IMTS
804,ACTIVE,Websphere,Application Support,AS-Websphere-L1,IMTS
805,ACTIVE,Websphere,Application Support,AS-Websphere-L2,IMTS
806,ACTIVE,Websphere,Application Support,AS-Websphere-L3,IMTS
807,ACTIVE,Websphere,Application Support,AS-Websphere-L4,IMTS
808,ACTIVE,Windows,Systems,SS-WIN-L1,IMTS
809,ACTIVE,Windows,Systems,SS-WIN-L2,IMTS
811,ACTIVE,Windows,Systems,SS-WIN-L4,IMTS
812,ACTIVE,Business Analysis,Project Management,Domain expertise,Process & Projects
813,ACTIVE,Business Analysis,Project Management,Generic,Process & Projects
814,ACTIVE,Project Manager,Project Management,SAP,Process & Projects
815,ACTIVE,Project Manager,Project Management,,Process & Projects
816,ACTIVE,Technical Writer,Project Management,,Process & Projects
817,ACTIVE,Manual Testing,Functional Testing,,Testing
818,ACTIVE,Automation Testing,Specialized Testing,Appium,Testing
819,ACTIVE,Automation Testing,Specialized Testing,AutoIT,Testing
820,ACTIVE,Automation Testing,Specialized Testing,C#/CodedUi/VSTS,Testing
821,ACTIVE,Automation Testing,Specialized Testing,EggPlant,Testing
822,ACTIVE,Automation Testing,Specialized Testing,Groovy,Testing
823,ACTIVE,Automation Testing,Specialized Testing,HP QC Admin,Testing
824,ACTIVE,Automation Testing,Specialized Testing,HP-QTP/UFT,Testing
810,ACTIVE,Windows,Systems,SS-WIN-L3,IMTS
825,ACTIVE,Digital Testing,Specialized Testing,Google Analytics,Testing
826,ACTIVE,Digital Testing,Specialized Testing,Handset Testing,Testing
827,ACTIVE,Digital Testing,Specialized Testing,Hybris,Testing
828,ACTIVE,Digital Testing,Specialized Testing,iStore,Testing
829,ACTIVE,Digital Testing,Specialized Testing,Magento,Testing
830,ACTIVE,Digital Testing,Specialized Testing,Migration Testing,Testing
831,ACTIVE,Digital Testing,Specialized Testing,Native / Hybrid / Web (m.com) Applications,Testing
832,ACTIVE,Digital Testing,Specialized Testing,Orchestra,Testing
833,ACTIVE,Digital Testing,Specialized Testing,Search Engine Optimization (SEO),Testing
834,ACTIVE,Digital Testing,Specialized Testing,SharePoint,Testing
835,ACTIVE,Digital Testing,Specialized Testing,SiteCore,Testing
836,ACTIVE,Digital Testing,Specialized Testing,Test Architect,Testing
837,ACTIVE,Digital Testing,Specialized Testing,Test Management,Testing
838,ACTIVE,Digital Testing,Specialized Testing,Usability Testing,Testing
839,ACTIVE,Digital Testing,Specialized Testing,Web Analytics,Testing
840,ACTIVE,Digital Testing,Specialized Testing,Web Sphere Commerce (WCS),Testing
841,ACTIVE,Performance Testing,Specialized Testing,App Dynamics,Testing
842,ACTIVE,Performance Testing,Specialized Testing,Application Log Analysis (Splunk etc),Testing
843,ACTIVE,Performance Testing,Specialized Testing,Application Optimization (JVM Tuning etc),Testing
844,ACTIVE,Performance Testing,Specialized Testing,Basic Performance Bottleneck Analysis,Testing
845,ACTIVE,Performance Testing,Specialized Testing,CA - APM (Application Performance Management),Testing
846,ACTIVE,Performance Testing,Specialized Testing,Capacity Planning,Testing
847,ACTIVE,Performance Testing,Specialized Testing,Code Profiling (Client/Server),Testing
848,ACTIVE,Performance Testing,Specialized Testing,Database Tuning and Optimization,Testing
849,ACTIVE,Performance Testing,Specialized Testing,DynaTrace,Testing
850,ACTIVE,Performance Testing,Specialized Testing,Garbage Collection Analysis,Testing
851,ACTIVE,Performance Testing,Specialized Testing,HP - Load Runner,Testing
852,ACTIVE,Performance Testing,Specialized Testing,IBM - Rational Performance Tester,Testing
853,ACTIVE,Performance Testing,Specialized Testing,In-depth bottleneck analysis (RCA),Testing
854,ACTIVE,Performance Testing,Specialized Testing,Jmeter,Testing
855,ACTIVE,Performance Testing,Specialized Testing,Mindtree MobiWatch,Testing
856,ACTIVE,Performance Testing,Specialized Testing,Mindtree Performance Execution Framework (PEF),Testing
857,ACTIVE,Performance Testing,Specialized Testing,Mindtree Performance Watch (pWatch),Testing
858,ACTIVE,Performance Testing,Specialized Testing,NeoLoad,Testing
859,ACTIVE,Performance Testing,Specialized Testing,Performance Test Strategy,Testing
860,ACTIVE,Performance Testing,Specialized Testing,Performance Testing in CI Env (Jenkins etc),Testing
861,ACTIVE,Performance Testing,Specialized Testing,Silk Performer,Testing
862,ACTIVE,Performance Testing,Specialized Testing,SOASTA,Testing
863,ACTIVE,Performance Testing,Specialized Testing,Workload Modeling,Testing
864,ACTIVE,SAP Testing,Specialized Testing,SAP APO Testing,Testing
865,ACTIVE,SAP Testing,Specialized Testing,SAP Automation Testing,Testing
866,ACTIVE,SAP Testing,Specialized Testing,SAP BW/BI/BCS/Hana Testing,Testing
867,ACTIVE,SAP Testing,Specialized Testing,SAP C4C Testing,Testing
868,ACTIVE,SAP Testing,Specialized Testing,SAP CRM/TPM Testing,Testing
869,ACTIVE,SAP Testing,Specialized Testing,SAP EP Testing,Testing
870,ACTIVE,SAP Testing,Specialized Testing,SAP FICO Testing,Testing
871,ACTIVE,SAP Testing,Specialized Testing,SAP Fiori Testing,Testing
872,ACTIVE,SAP Testing,Specialized Testing,SAP HR/HCM Testing,Testing
873,ACTIVE,SAP Testing,Specialized Testing,SAP ISR Testing,Testing
874,ACTIVE,SAP Testing,Specialized Testing,SAP MDM Testing,Testing
875,ACTIVE,SAP Testing,Specialized Testing,SAP MM Testing,Testing
876,ACTIVE,SAP Testing,Specialized Testing,SAP PLM Testing,Testing
877,ACTIVE,SAP Testing,Specialized Testing,SAP PM Testing,Testing
878,ACTIVE,SAP Testing,Specialized Testing,SAP PP Testing,Testing
879,ACTIVE,SAP Testing,Specialized Testing,SAP PS Testing,Testing
880,ACTIVE,SAP Testing,Specialized Testing,SAP QM Testing,Testing
881,ACTIVE,SAP Testing,Specialized Testing,SAP SCM Testing,Testing
882,ACTIVE,SAP Testing,Specialized Testing,SAP SD Testing,Testing
883,ACTIVE,SAP Testing,Specialized Testing,SAP Security Testing,Testing
884,ACTIVE,SAP Testing,Specialized Testing,SAP SRM Testing,Testing
885,ACTIVE,SAP Testing,Specialized Testing,SAP Test Management,Testing
886,ACTIVE,SAP Testing,Specialized Testing,SAP WHM Testing,Testing
887,ACTIVE,TSM,Specialized Testing,Test Management,Testing
888,ACTIVE,Automation Testing,Specialized Testing,HT-QC/ALM,Testing
889,ACTIVE,Automation Testing,Specialized Testing,Java/ Javascript,Testing
890,ACTIVE,Automation Testing,Specialized Testing,Jbehave,Testing
891,ACTIVE,Automation Testing,Specialized Testing,Jenkins,Testing
892,ACTIVE,Automation Testing,Specialized Testing,Jira/TFS/Bugzilla,Testing
893,ACTIVE,Automation Testing,Specialized Testing,MTM,Testing
894,ACTIVE,Automation Testing,Specialized Testing,Perfecto,Testing
895,ACTIVE,Automation Testing,Specialized Testing,Python/Perl,Testing
896,ACTIVE,Automation Testing,Specialized Testing,Ranorex,Testing
1,ACTIVE,Build&Deploy,DevOps,Jenkins,Coding & Development
2,ACTIVE,Build&Deploy,DevOps,Apache Maven,Coding & Development
3,ACTIVE,Infrastructure as Code,DevOps,ARM,Coding & Development
4,ACTIVE,Infrastructure as Code,DevOps,CloudFormation,Coding & Development
5,ACTIVE,Infrastructure as Code,DevOps,Powershell,Coding & Development
6,ACTIVE,Infrastructure as Code,DevOps,Puppet,Coding & Development
7,ACTIVE,AWS,Java,Analytics Services,Coding & Development
8,ACTIVE,AWS,Java,AWS PaaS Services,Coding & Development
9,ACTIVE,AWS,Java,Containers and Microservices,Coding & Development
10,ACTIVE,AWS,Java,"Content Services (media, CDN)",Coding & Development
11,ACTIVE,AWS,Java,"Fundamental AWS Services (IaaS, VPC Storage etc)",Coding & Development
12,ACTIVE,AWS,Java,Hybrid Integration,Coding & Development
13,ACTIVE,AWS,Java,Identity and Access Management,Coding & Development
922,ACTIVE,Programming/Scripting,Big data,Scala-Lagom microservices,Coding & Development
923,ACTIVE,Programming/Scripting,Big data,Scala-Scalajs-reactjs,Coding & Development
924,ACTIVE,Programming/Scripting,Big data,Scala-AKKA,Coding & Development
925,ACTIVE,Programming/Scripting,Big data,Scala-KAFKA,Coding & Development
926,ACTIVE,Web Technology,Java,React JS,Coding & Development
927,ACTIVE,Web Technology,Java,Redux,Coding & Development
928,ACTIVE,Web Technology,Java,Typescript,Coding & Development
929,ACTIVE,Progressive Web App,Web Technologies,,Coding & Development
930,ACTIVE,UI Development,Mobility,React Native,Coding & Development
931,ACTIVE,Web Technology,Java,React Material UI,Coding & Development
932,ACTIVE,Framework,Microsoft,Bootstrap,Coding & Development
933,ACTIVE,BOM Design,UML,Rational S/W Architect,Coding & Development
934,ACTIVE,Use case and Sequence Diagram,UML,Rational S/W Architect,Coding & Development
935,ACTIVE,Container,DevOps,Docker,Coding & Development
936,ACTIVE,Orchestration system,DevOps,Kubernetes,Coding & Development
937,ACTIVE,Blockchain Technology,Ethereum,"Web3js, Ethereumjs, web3j and solidity",Coding & Development
938,ACTIVE,Azure,.NET,DocumentDB Database,Coding & Development
939,ACTIVE,Azure,.NET,Graph Database,Coding & Development
940,ACTIVE,Azure,.NET,Gremlin Query,Coding & Development
941,ACTIVE,Azure,.NET,Redis Cache,Coding & Development
942,ACTIVE,Azure,.NET,Messaging Services,Coding & Development
943,ACTIVE,IBM,EAI,IBM Watson,Coding & Development
944,ACTIVE,Performance Testing,Specialized Testing,BlazeMeter,Testing
945,ACTIVE,Analytics,.NET,StatsD,Coding & Development
946,ACTIVE,Azure,.NET,Storage-Blobs,Coding & Development
947,ACTIVE,Azure,.NET,Storage-Files,Coding & Development
948,ACTIVE,Azure,.NET,Storage-Queues,Coding & Development
949,ACTIVE,Azure,.NET,Storage-Tables,Coding & Development
166,ACTIVE,SAP_Delivery Manager,SAP,,Coding & Development
412,ACTIVE,IBM,EAI,WMQ,Coding & Development
897,ACTIVE,Automation Testing,Specialized Testing,RFT,Testing
898,ACTIVE,Automation Testing,Specialized Testing,Robot Framework,Testing
899,ACTIVE,Automation Testing,Specialized Testing,Ruby/Cucumber,Testing
900,ACTIVE,Automation Testing,Specialized Testing,SeeTest,Testing
901,ACTIVE,Automation Testing,Specialized Testing,Selenium,Testing
902,ACTIVE,Automation Testing,Specialized Testing,Sikuli,Testing
903,ACTIVE,Automation Testing,Specialized Testing,SOA/SV,Testing
904,ACTIVE,Automation Testing,Specialized Testing,SOAPUI,Testing
905,ACTIVE,Automation Testing,Specialized Testing,Squish,Testing
906,ACTIVE,Automation Testing,Specialized Testing,Test Complete,Testing
907,ACTIVE,Automation Testing,Specialized Testing,Test Link,Testing
908,ACTIVE,Automation Testing,Specialized Testing,Testing Anywhere,Testing
909,ACTIVE,Automation Testing,Specialized Testing,TestNG,Testing
910,ACTIVE,Automation Testing,Specialized Testing,Web Services,Testing
911,ACTIVE,Automation Testing,Specialized Testing,ZapTest,Testing
912,ACTIVE,Digital Testing,Specialized Testing,Accessibility Testing,Testing
913,ACTIVE,Digital Testing,Specialized Testing,Adobe AEM,Testing
914,ACTIVE,Digital Testing,Specialized Testing,Adobe Analytics,Testing
915,ACTIVE,Digital Testing,Specialized Testing,ATG eCommerce,Testing
916,ACTIVE,Digital Testing,Specialized Testing,Core Metrics,Testing
917,ACTIVE,Digital Testing,Specialized Testing,Drupal,Testing
918,ACTIVE,Digital Testing,Specialized Testing,Field Testing & Interoperability Testing,Testing
919,ACTIVE,ORM,Java,iBatis,Coding & Development
920,ACTIVE,Programming/Scripting,Big data,Scala-SBT,Coding & Development
921,ACTIVE,Programming/Scripting,Big data,Scala-Play Framework,Coding & Development
