iter	Passed	Remaining
455	854	1019
456	856	1017
457	857	1014
458	858	1011
459	859	1009
460	860	1006
461	862	1004
462	863	1001
463	864	999
464	866	997
465	868	994
466	869	992
467	870	990
468	872	987
469	873	985
470	874	982
471	875	979
472	877	977
473	878	974
474	879	972
475	881	969
476	882	968
477	884	965
478	885	962
479	886	960
480	887	957
481	889	955
482	890	953
483	891	950
484	892	948
485	894	945
486	895	943
487	898	942
488	899	940
489	901	937
490	902	935
491	903	933
492	905	931
493	906	928
494	908	926
495	909	924
496	911	922
497	914	921
498	915	919
499	917	917
500	919	915
501	921	913
502	922	911
503	923	909
504	925	906
505	926	904
506	929	903
507	930	901
508	931	898
509	933	896
510	934	894
511	936	892
512	937	890
513	938	887
514	940	885
515	941	883
516	943	881
517	944	879
518	946	877
519	948	875
520	950	873
521	951	871
522	953	869
523	954	866
524	955	864
525	957	862
526	959	861
527	961	859
528	962	857
529	964	855
530	966	853
531	967	851
532	969	849
533	970	846
534	971	844
535	973	842
536	974	840
537	976	838
538	977	836
539	978	833
540	979	831
541	981	829
542	982	826
543	983	824
544	984	822
545	985	819
546	987	817
547	989	815
548	990	813
549	992	811
550	993	809
551	994	807
552	996	805
553	997	803
554	998	800
555	1000	798
556	1001	796
557	1002	794
558	1004	792
559	1006	790
560	1007	788
561	1009	786
562	1010	784
563	1012	782
564	1013	780
565	1014	778
566	1016	775
567	1017	773
568	1018	771
569	1020	769
570	1021	767
571	1022	765
572	1024	763
573	1025	760
574	1026	758
575	1027	756
576	1028	754
577	1030	752
578	1031	749
579	1032	747
580	1033	745
581	1036	744
582	1038	742
583	1039	740
584	1040	738
585	1042	736
586	1043	734
587	1044	732
588	1046	730
589	1047	727
590	1048	725
591	1065	734
592	1068	733
593	1069	731
594	1071	729
595	1072	727
596	1073	724
597	1075	722
598	1076	720
599	1077	718
600	1078	716
601	1080	714
602	1082	712
603	1083	710
604	1085	708
605	1086	706
606	1087	704
607	1088	702
608	1090	699
609	1091	697
610	1092	695
611	1093	693
612	1095	691
613	1097	689
614	1099	688
615	1100	686
616	1102	684
617	1103	682
618	1104	680
619	1106	678
620	1107	676
621	1109	674
622	1111	672
623	1113	670
624	1115	669
625	1117	667
626	1118	665
627	1119	663
628	1121	661
629	1122	659
630	1124	657
631	1125	655
632	1127	653
633	1129	652
634	1131	650
635	1132	648
636	1134	646
637	1135	644
638	1137	642
639	1139	640
640	1140	638
641	1142	636
642	1143	635
643	1145	633
644	1146	631
645	1148	629
646	1149	627
647	1150	625
648	1152	623
649	1153	621
650	1155	619
651	1156	617
652	1157	615
653	1159	613
654	1161	611
655	1162	609
656	1163	607
657	1165	605
658	1166	603
659	1168	601
660	1169	599
661	1170	597
662	1172	595
663	1174	594
664	1175	592
665	1177	590
666	1178	588
667	1179	586
668	1181	584
669	1182	582
670	1183	580
671	1185	578
672	1186	576
673	1188	574
674	1189	572
675	1191	570
676	1192	569
677	1210	574
678	1211	572
679	1212	570
680	1214	568
681	1215	566
682	1216	564
683	1217	562
684	1219	560
685	1220	558
686	1222	556
687	1223	554
688	1225	552
689	1226	551
690	1227	549
691	1229	547
692	1230	545
693	1232	543
694	1233	541
695	1234	539
696	1237	537
697	1238	535
698	1240	534
699	1241	532
700	1242	530
701	1244	528
702	1245	526
703	1247	524
704	1248	522
705	1249	520
706	1252	519
707	1254	517
708	1255	515
709	1256	513
710	1258	511
711	1259	509
712	1260	507
713	1262	505
714	1263	503
715	1265	501
716	1266	499
717	1268	498
718	1269	496
719	1271	494
720	1272	492
721	1273	490
722	1275	488
723	1276	486
724	1278	484
725	1279	482
726	1280	480
727	1283	479
728	1285	477
729	1287	476
730	1288	474
731	1290	472
732	1292	470
733	1294	469
734	1295	467
735	1300	466
736	1303	465
737	1304	463
738	1306	461
739	1308	459
740	1309	457
741	1311	456
742	1314	454
743	1316	453
744	1318	451
745	1320	449
746	1321	447
747	1323	445
748	1325	444
749	1326	442
750	1328	440
751	1330	438
752	1332	436
753	1333	435
754	1335	433
755	1336	431
756	1338	429
757	1339	427
758	1341	425
759	1344	424
760	1346	422
761	1348	421
762	1349	419
763	1351	417
764	1353	415
765	1354	413
766	1356	411
767	1357	410
768	1360	408
769	1361	406
770	1363	404
771	1365	403
772	1366	401
773	1368	399
774	1370	397
775	1372	396
776	1373	394
777	1375	392
778	1377	390
779	1379	388
780	1380	387
781	1382	385
782	1385	384
783	1387	382
784	1388	380
785	1391	378
786	1393	377
787	1396	375
788	1397	373
789	1399	371
790	1400	370
791	1402	368
792	1404	366
793	1407	365
794	1408	363
795	1410	361
796	1411	359
797	1413	357
798	1415	356
799	1417	354
800	1418	352
801	1420	350
802	1422	349
803	1424	347
804	1425	345
805	1427	343
806	1428	341
807	1430	339
808	1431	338
809	1433	336
810	1435	334
811	1437	332
812	1439	331
813	1441	329
814	1443	327
815	1445	326
816	1447	324
817	1449	322
818	1450	320
819	1457	319
820	1459	318
821	1460	316
822	1462	314
823	1463	312
824	1464	310
825	1466	308
826	1469	307
827	1470	305
828	1472	303
829	1474	302
830	1476	300
831	1478	298
832	1479	296
833	1481	294
834	1484	293
835	1486	291
836	1488	289
837	1491	288
838	1493	286
839	1494	284
840	1496	283
841	1498	281
842	1501	279
843	1502	277
844	1504	276
845	1507	274
846	1509	272
847	1511	270
848	1513	269
849	1515	267
850	1517	265
851	1519	263
852	1521	262
853	1522	260
854	1524	258
855	1526	256
856	1527	254
857	1529	253
858	1531	251
859	1534	249
860	1537	248
861	1541	246
862	1543	245
863	1546	243
864	1550	241
865	1553	240
866	1556	238
867	1559	237
868	1563	235
869	1566	234
870	1569	232
871	1572	230
872	1576	229
873	1578	227
874	1579	225
875	1581	223
876	1582	222
877	1584	220
878	1586	218
879	1588	216
880	1590	214
881	1591	212
882	1595	211
883	1597	209
884	1599	207
885	1602	206
886	1603	204
887	1605	202
888	1607	200
889	1608	198
890	1610	197
891	1611	195
892	1613	193
893	1614	191
894	1615	189
895	1616	187
896	1618	185
897	1619	183
898	1620	182
899	1621	180
900	1623	178
901	1625	176
902	1627	174
903	1629	173
904	1630	171
905	1631	169
906	1633	167
907	1637	165
908	1638	164
909	1640	162
910	1641	160
911	1643	158
912	1644	156
913	1645	154
914	1647	153
915	1648	151
916	1649	149
917	1651	147
918	1652	145
919	1653	143
920	1655	142
921	1656	140
922	1658	138
923	1659	136
924	1660	134
925	1662	132
926	1663	130
927	1664	129
928	1666	127
929	1668	125
930	1670	123
931	1671	121
932	1673	120
933	1674	118
934	1675	116
935	1677	114
936	1678	112
937	1679	111
938	1681	109
939	1682	107
940	1698	106
941	1699	104
942	1700	102
943	1703	101
944	1704	99
945	1706	97
946	1707	95
947	1708	93
948	1709	91
949	1710	90
950	1711	88
951	1713	86
952	1714	84
953	1715	82
954	1717	80
955	1718	79
956	1720	77
957	1721	75
958	1722	73
959	1723	71
960	1725	70
961	1726	68
962	1728	66
963	1729	64
964	1730	62
965	1732	60
966	1733	59
967	1735	57
968	1736	55
969	1738	53
970	1739	51
971	1741	50
972	1742	48
973	1745	46
974	1746	44
975	1748	42
976	1749	41
977	1751	39
978	1752	37
979	1754	35
980	1755	33
981	1756	32
982	1757	30
983	1759	28
984	1760	26
985	1762	25
986	1763	23
987	1765	21
988	1766	19
989	1768	17
990	1769	16
991	1770	14
992	1771	12
993	1773	10
994	1775	8
995	1777	7
996	1778	5
997	1780	3
998	1781	1
999	1782	0
